code,title,unit_code
264202,Critic,2642
264203,Editor-in-chief,2642
264204,Journalist,2642
264205,News analyst,2642
264206,News media copywriter,2642
264207,Newspaper editor,2642
264208,Newspaper reporter,2642
264209,Sports writer,2642
264210,Sub editor,2642
264211,TV/Radio news producer,2642
264212,TV/Radio news reporter,2642
264301,Interpreter,2643
264302,Lexicographer,2643
264303,Philologist,2643
264304,Sign language interpreter,2643
264305,Subtitler,2643
264306,Translator,2643
264307,Translator-reviser,2643
265101,Artistic engraver and etcher,2651
265102,Artistic painter,2651
265103,Cartoonist,2651
265104,Ceramic artist,2651
265105,Graphic artist,2651
265106,Murals painter,2651
265107,Picture restorer,2651
265108,Portrait painter,2651
265109,Sculptor,2651
265110,Sketch artist,2651
265201,Band leader,2652
265202,Bassoonist,2652
265203,Drummer,2652
265204,Flutist,2652
265205,Guitarist,2652
265206,Instrumentalist,2652
265207,Keyboardist,2652
265208,Music arranger,2652
265209,Music composer,2652
265210,Music conductor,2652
265211,Musician,2652
265212,Nightclub musician,2652
265213,Nightclub singer,2652
265214,Orchestra conductor,2652
265215,Pianist,2652
265216,Saxophonist,2652
265217,Singer,2652
265218,Street musician,2652
265219,Street singer,2652
265220,Trumpeter,2652
265221,Violinist,2652
265222,Vocal group conductor,2652
265301,Ballet dancer,2653
265302,Belly dancer,2653
265303,Choreographer,2653
265304,Cultural dancer,2653
265305,Nightclub dancer,2653
265306,Professional dancer,2653
265307,Street dancer,2653
265401,Director of photography,2654
265402,Documentary director,2654
265403,Film editor,2654
265404,Motion picture director,2654
265405,Stage director,2654
265406,Technical television or radio director,2654
265407,Theater producer,2654
265408,Theatrical director,2654
265501,Dubber or voice actor,2655
265502,Mime artist,2655
265503,Motion picture actor/actress,2655
265504,Radio actor/actress,2655
265505,Stage actor/actress,2655
265506,Storyteller,2655
265507,Theater actor/actress,2655
265601,"Compere' (emcee, show host)",2656
265602,News anchor,2656
265603,Radio and television disc or video jockey,2656
265604,Radio announcer,2656
265605,Sports announcer,2656
265606,Television announcer,2656
265901,Acrobat,2659
265902,Aerialist,2659
265903,Clown,2659
265904,Disc jockey (bar and clubs),2659
265905,Hypnotist,2659
265906,Magician,2659
265907,Puppeteer,2659
265908,Stand-up comedian,2659
265909,Ventriloquist,2659
265910,Vlogger,2659
311101,Chemistry technician,3111
311102,Geology technician,3111
311103,Meteorology technician,3111
311104,Physics technician,3111
311201,Building inspector,3112
311202,Building surveyor,3112
311203,Civil engineering technician,3112
311204,Clerk of works,3112
311205,Fire inspector,3112
311206,Fire prevention specialist,3112
311207,Geotechnical technician,3112
311208,Surveying technician,3112
311301,Electric power transmission engineering technician,3113
311302,Electric vehicle (EV) electrical service technician,3113
311303,Electric vehicle supply equipment (EVSE) installation technician,3113
311304,Electrical engineering technician,3113
311305,Gas turbine electrical system technician,3113
311306,High voltage electrical engineering technician,3113
311307,Photovoltaic (PV) system installation technician,3113
311308,Photovoltaic (PV) system maintenance technician,3113
311401,Audio visual systems technician,3114
311402,Electronics and communication equipment technician,3114
311403,Electronics engineering technician,3114
311404,Electronics system technician,3114
311501,Aeronautics engineering technician,3115
311502,Aircraft maintenance technician,3115
311503,Auto service technician,3115
311504,Boiler technician,3115
311505,Electric vehicle (EV) mechanical service technician,3115
311506,Elevator technician,3115
311507,Gas turbine mechanical system technician,3115
311508,Industrial machinery and tools technician,3115
311509,Maintenance technician,3115
311510,Marine engineering technician,3115
311511,Marine surveyor,3115
311512,Mechanical engineering estimator,3115
311513,Mechanical engineering technician,3115
311514,Power plant technician,3115
311601,Chemical engineering estimator,3116
311602,Chemical engineering technician,3116
311603,Chemical laboratory technician,3116
311604,Petroleum engineering technician,3116
311701,Extractive engineering technician,3117
311702,Metallurgical technician,3117
311703,Mine inspector,3117
311704,Mines safety inspector,3117
311705,Mining engineering technician,3117
