code,name,province_code,type,is_independent
015515,Bugallon,0155,municipality,False
015516,Burgos,0155,municipality,False
015517,Calasiao,0155,municipality,False
015518,City of Dagupan,0155,independent component city,True
015519,Dasol,0155,municipality,False
015520,Infanta,0155,municipality,False
015521,Labrador,0155,municipality,False
015522,Lingayen,0155,municipality,False
015523,Mabini,0155,municipality,False
015524,Malasiqui,0155,municipality,False
015525,Manaoag,0155,municipality,False
015526,Mangaldan,0155,municipality,False
015527,Mangatarem,0155,municipality,False
015528,Mapandan,0155,municipality,False
015529,Natividad,0155,municipality,False
015530,Pozorrubio,0155,municipality,False
015531,Rosales,0155,municipality,False
015532,City of San Carlos,0155,component city,False
015533,San Fabian,0155,municipality,False
015534,San Jacinto,0155,municipality,False
015535,San Manuel,0155,municipality,False
015536,San Nicolas,0155,municipality,False
015537,San Quintin,0155,municipality,False
015538,Santa Barbara,0155,municipality,False
015539,Santa Maria,0155,municipality,False
015540,Santo Tomas,0155,municipality,False
015541,Sison,0155,municipality,False
015542,Sual,0155,municipality,False
015543,Tayug,0155,municipality,False
015544,Umingan,0155,municipality,False
015545,Urbiztondo,0155,municipality,False
015546,City of Urdaneta,0155,component city,False
015547,Villasis,0155,municipality,False
015548,Laoac,0155,municipality,False
020901,Basco,0209,municipality,False
020902,Itbayat,0209,municipality,False
020903,Ivana,0209,municipality,False
020904,Mahatao,0209,municipality,False
020905,Sabtang,0209,municipality,False
020906,Uyugan,0209,municipality,False
021501,Abulug,0215,municipality,False
021502,Alcala,0215,municipality,False
021503,Allacapan,0215,municipality,False
021504,Amulung,0215,municipality,False
021505,Aparri,0215,municipality,False
021506,Baggao,0215,municipality,False
021507,Ballesteros,0215,municipality,False
021508,Buguey,0215,municipality,False
021509,Calayan,0215,municipality,False
021510,Camalaniugan,0215,municipality,False
021511,Claveria,0215,municipality,False
021512,Enrile,0215,municipality,False
021513,Gattaran,0215,municipality,False
021514,Gonzaga,0215,municipality,False
021515,Iguig,0215,municipality,False
021516,Lal-Lo,0215,municipality,False
021517,Lasam,0215,municipality,False
021518,Pamplona,0215,municipality,False
021519,Peñablanca,0215,municipality,False
021520,Piat,0215,municipality,False
021521,Rizal,0215,municipality,False
021522,Sanchez-Mira,0215,municipality,False
021523,Santa Ana,0215,municipality,False
021524,Santa Praxedes,0215,municipality,False
021525,Santa Teresita,0215,municipality,False
021526,Santo Niño,0215,municipality,False
021527,Solana,0215,municipality,False
021528,Tuao,0215,municipality,False
021529,Tuguegarao City,0215,component city,False
023101,Alicia,0231,municipality,False
023102,Angadanan,0231,municipality,False
023103,Aurora,0231,municipality,False
023104,Benito Soliven,0231,municipality,False
023105,Burgos,0231,municipality,False
023106,Cabagan,0231,municipality,False
023107,Cabatuan,0231,municipality,False
023108,City of Cauayan,0231,component city,False
023109,Cordon,0231,municipality,False
023110,Dinapigue,0231,municipality,False
023111,Divilacan,0231,municipality,False
023112,Echague,0231,municipality,False
023113,Gamu,0231,municipality,False
023114,City of Ilagan,0231,component city,False
023115,Jones,0231,municipality,False
023116,Luna,0231,municipality,False
023117,Maconacon,0231,municipality,False
023118,Delfin Albano,0231,municipality,False
023119,Mallig,0231,municipality,False
023120,Naguilian,0231,municipality,False
023121,Palanan,0231,municipality,False
023122,Quezon,0231,municipality,False
023123,Quirino,0231,municipality,False
023124,Ramon,0231,municipality,False
023125,Reina Mercedes,0231,municipality,False
023126,Roxas,0231,municipality,False
023127,San Agustin,0231,municipality,False
023128,San Guillermo,0231,municipality,False
023129,San Isidro,0231,municipality,False
023130,San Manuel,0231,municipality,False
023131,San Mariano,0231,municipality,False
023132,San Mateo,0231,municipality,False
023133,San Pablo,0231,municipality,False
023134,Santa Maria,0231,municipality,False
023135,City of Santiago,0231,independent component city,True
023136,Santo Tomas,0231,municipality,False
023137,Tumauini,0231,municipality,False
025001,Ambaguio,0250,municipality,False
025002,Aritao,0250,municipality,False
025003,Bagabag,0250,municipality,False
025004,Bambang,0250,municipality,False
025005,Bayombong,0250,municipality,False
025006,Diadi,0250,municipality,False
025007,Dupax del Norte,0250,municipality,False
025008,Dupax del Sur,0250,municipality,False
025009,Kasibu,0250,municipality,False
025010,Kayapa,0250,municipality,False
025011,Quezon,0250,municipality,False
025012,Santa Fe,0250,municipality,False
025013,Solano,0250,municipality,False
025014,Villaverde,0250,municipality,False
025015,Alfonso Castaneda,0250,municipality,False
025701,Aglipay,0257,municipality,False
025702,Cabarroguis,0257,municipality,False
025703,Diffun,0257,municipality,False
025704,Maddela,0257,municipality,False
025705,Saguday,0257,municipality,False
025706,Nagtipunan,0257,municipality,False
030801,Abucay,0308,municipality,False
030802,Bagac,0308,municipality,False
030803,City of Balanga,0308,component city,False
030804,Dinalupihan,0308,municipality,False
030805,Hermosa,0308,municipality,False
030806,Limay,0308,municipality,False
030807,Mariveles,0308,municipality,False
030808,Morong,0308,municipality,False
030809,Orani,0308,municipality,False
030810,Orion,0308,municipality,False
030811,Pilar,0308,municipality,False
030812,Samal,0308,municipality,False
031401,Angat,0314,municipality,False
031402,Balagtas,0314,municipality,False
031403,City of Baliwag,0314,component city,False
031404,Bocaue,0314,municipality,False
031405,Bulacan,0314,municipality,False
031406,Bustos,0314,municipality,False
031407,Calumpit,0314,municipality,False
031408,Guiguinto,0314,municipality,False
031409,Hagonoy,0314,municipality,False
031410,City of Malolos,0314,component city,False
031411,Marilao,0314,municipality,False
031412,City of Meycauayan,0314,component city,False
031413,Norzagaray,0314,municipality,False
031414,Obando,0314,municipality,False
031415,Pandi,0314,municipality,False
031416,Paombong,0314,municipality,False
031417,Plaridel,0314,municipality,False
031418,Pulilan,0314,municipality,False
031419,San Ildefonso,0314,municipality,False
031420,City of San Jose Del Monte,0314,component city,False
031421,San Miguel,0314,municipality,False
031422,San Rafael,0314,municipality,False
031423,Santa Maria,0314,municipality,False
